Date,Description,Short Description,Accurate Sentiments
2024-09-12,"This week, our desk noticed that BTC market volatility started to pick up, with multiple key data releases on the US labour market and CPI before next week’s FOMC meeting. BTC price was closely tracking the US equities performance, while some altcoins had a more independent journey.Sui ($SUI) is a unique Layer 1 blockchain and smart contract platform that seeks to enhance digital asset ownership by making it fast, private, and accessible to everyone. The recently launched Grayscale Sui Trust, by the digital asset manager Grayscale, is available to accredited investors for SUI exposure. The bullish news helped SUI achieve a 15.3% gain in one week while BTC had a 0.8% loss during the same time.Book of Meme ($BOME) also saw strong trade demand on Convert last week. This meme coin saw a 73.4% volume increase on Convert and a 4.1% gain last week, outperforming many other meme coins with similar market capitalization.The layer-1 blockchain Cardano ($ADA) was introduced in 2017 by Charles Hoskinson, a co-founder of Ethereum. Its eagerly awaited ""Chang"" update was released on September 1st, completing the ecosystem's long-term shift to decentralized governance. Holders of ADA tokens will be able to influence Cardano's future by choosing governance representatives and approving development ideas thanks to this hard fork update. Last week, ADA had a 7.2% gain due to the bullish sentiment after the upgrade.Overall MarketThe above chart shows the BTC price movement in the 8-hour chart.The BTC price has been trading in this blue downward trend for nearly six months, and it has experienced a significant correction, with a 34% drop from the all-time high of $73,777 to $49,000, a market low caused by the carry trade unwind on August 5. As previously discussed, the $50k/$52k range served as a strong support zone, with the $57k level providing local support. BTC prices tested this again in the $50k/52k range last Friday following the disappointing nonfarm payroll data in the United States, raising market concerns about the US economy and the need for a 50 basis point rate cut by the Fed on September 18. Historically, when the Fed lowers interest rates in poor economic conditions, it usually results in a recession within 12 to 18 months.  And we expressed concern that the Fed's 50 basis point rate cut would trigger another round of risk asset sell-offs, pushing the BTC price below the strong support range of 50k/52k. If that scenario unfolds, the current bull cycle will effectively end and become the shortest in BTC history, aside from the 2013 cycle.This week's CPI data suggests that inflation in the United States is moving in the Fed's favour, and the market is now leaning toward a 25 basis point rate cut by the Fed on September 18. The reduced concern about a potential recession in the United States encourages risk-taking. Following the initial reaction to the CPI data, US stocks rallied and recovered all of their losses, closing higher. BTC tracked US equities closely, falling below $55.7k before rising above $57k before the session ended.The FOMC meeting will take place next week, and our desk anticipates some market volatility around the time when Fed Chair Powell delivers his speech after the meeting.Options MarketThe above chart is the 25-delta skewness on BTC options in the last two weeks.A 25-delta skew on options refers to the premium difference between a 25-delta call and a 25-delta put with the same expiry. The negative skew indicates that options traders would prefer to pay a higher premium on puts for downside protection than on calls for upside rewards. It provides a proxy measure for market sentiments by tracking the 25-delta skew across different expirations.As shown in the chart above, front-end BTC options (with a 7-day expiry) have been negative for the last two weeks, with the negative skew further lowering last Friday when BTC was sold below $52.7k. The chart also showed that market sentiment shifted to neutral over the weekend as the Bitcoin price recovered.The skew in medium- to long-term options suggested that options traders were not as bearish as indicated by the front-end options. In the last two weeks, the 60-day, 90-day, and 180-day expired options have all had above-zero skews, while the longer-dated options have maintained steady skews above 0. With the risk backdrop of reduced concern on the US recession and a Fed rate cut on the horizon, risk appetite is encouraged. We anticipate that the skew on BTC options across all durations will rise, indicating some bullish sentiment before/after the FOMC meeting.Macro at a glance Last Thursday (24-09-05)According to ADP nonfarm employment data, the US private market added only 99k new jobs in August, far below analysts' expectations of 144k. The weak ADP data raised market concerns about the US economy's conditions, increasing the likelihood of a 50 basis point rate cut by the Fed in September.Last week, the number of initial jobless claims in the United States was 227k, which was lower than the estimated 231k.The S&P Global Services PMI was 55.7 in August, up from the forecasted 55.2.Last Friday (24-09-06)In the United States, nonfarm payrolls (NFP) increased by 142,000 in August, less than 160,000 market expectations. This followed an increase of 89,000 in July, revised from 114,000. The USD index traded volatilely in the Friday session, while US equities fell as concerns about the US economy outweighed risk appetite.The US unemployment rate fell back to 4.2% in August, after hitting 4.3% in July.The unemployment rate in Canada increased to 6.6% in August, exceeding the forecasted 6.5% and July's 6.4%.BTC price experienced a significant sell-off in the Friday US session and found support at 52.5k following an 8% drop.On Monday (24-09-09)The unemployment rate in the UK fell to 4.1% in July from 4.2% in June, meeting economists' expectations.The German CPI fell by 0.1% monthly in August, compared to a 0.3% increase in July. The annualized CPI change was 1.9%, which is lower than the 2.3% increase in July.On Wednesday (24-09-11)The US CPI increased by 0.2% month on month in August, matching the pace seen in July. August saw annualized CPI growth of 2.5%, down from 2.9% in July. However, the monthly core CPI growth rate reaches 0.3%, exceeding the estimated 0.2% and July's 0.2%. The stubborn shelter cost served as the primary driver of the unexpectedly higher core CPI growth.The CPI data released on Wednesday solidified the Federal Reserve's decision to cut interest rates by 25 basis points next week, with an 86% probability. US equities initially lost some ground after the CPI data was released. The market then turned bullish as the Fed's chances of cutting interest rates by 25 basis points increased, and risk assets were bid up. The S&P 500 index finished up 1.07%, while the Nasdaq index rose 2.15%. As a first reaction, the BTC price fell below $55.7k before regaining the $57,000 level by market close.Convert Portal Volume ChangeThe above table shows the volume change on our Convert Portal by zone. Market volatility began to rise in early September, and the BTC price closely tracked US equities. Last Friday after the weak job data in the US, the BTC price fell below $52.7k amid rising concerns about the US economy. The sentiment improved over the weekend, and BTC returned to above $57k on Wednesday.Last week, the Megadrop Zone saw a volume increase of 59.8%. The primary reason for the volume increase was the high demand for BounceBit ($BB).The volume of the Storage zone increased by 14.0% during the same time period. The BitTorrent ($BTTC) demand surge was the primary driver of the volume increase in the Storage zone.In addition, the NFT Zone's volume increased by 4.3%. The change was primarily driven by Mines of Dalarnia ($DAR).Why trade OTC?  Binance offers our clients various ways to access OTC trading, including chat communication channels and the Binance OTC platform (https://www.binance.com/en/otc) for manual price quotations, Algo Orders, or automated price quotations via Binance Convert and Block Trade platform (https://www.binance.com/en/convert) and the Binance Convert OTC API. Email: trading@binance.com for more information.Join our Telegram (https://t.me/BinanceOTC) to stay up to date with the markets!","This week, the US labour market and CPI data released before next week’s FOMC meeting. Some altcoins had a more independent journey. Sui is a new layer 1 blockchain and smart contract platform. SUI achieved a 15.3% gain in one week. Book of Meme ($BOME) also saw a 73.4% volume increase on Convert",0.999714195728302
2024-09-12,"According to BlockBeats, on September 12, UniSat officially announced the launch of its iOS application on the App Store. The new app aims to provide seamless Bitcoin management along with several advanced features for users. The main features of the UniSat iOS version include support for the Fractal Bitcoin mainnet, enabling convenient and instant inscription and trading of BRC20 and Runes inscriptions upon activation. Additionally, the app allows for smooth switching between accounts and wallets, and offers one-click transfer functions for Bitcoin, inscriptions, and Runes.",UniSat has launched its iOS app on the App Store on September 12th. The new app aims to provide seamless Bitcoin management along with several advanced features for users. The main features of the UniSat iOS version include support for the Fractal Bitcoin mainnet and instant inscription and trading of BRC20 and Runes inscriptions upon activation.,0.0
2024-09-12,"On Sep 12, 2024, 10:31 AM(UTC). According to Binance Market Data, Bitcoin has dropped below 58,000 USDT and is now trading at 57,996 USDT, with a narrowed narrowed 2.48% increase in 24 hours.","Bitcoin has dropped below 58,000 USDT and is now trading at 57,996 USDT, with a narrowed narrowed 2.48% increase in 24 hours. Bitcoin is trading at 10:31 AM(UTC) on Sep 12, 2024, 10:30 AM(GMT).",-0.989155113697052
2024-09-12,"According to Odaily, Anchorage Digital has announced that it will offer custody services for 21Shares' spot Bitcoin and Ethereum ETFs. The company will implement biometric authentication for issuers and participants involved in the crypto ETFs to enhance security.",Anchorage Digital has announced it will offer custody services for 21Shares' spot Bitcoin and Ethereum ETFs. The company will implement biometric authentication for issuers and participants involved in the crypto ETFs to enhance security. The service will be available for Bitcoin and Etherium.,0.0
2024-09-12,"According to CoinDesk, RootstockCollective has been introduced as the first decentralized autonomous organization (DAO) on Bitcoin layer-2 Rootstock. This new DAO will enable holders of the Rootstock token RIF to earn voting rights by staking their tokens. The launch signifies a continuation of concepts typically associated with Ethereum making their way to Bitcoin, the world's oldest blockchain. DAOs are blockchain-based organizations where decisions are made by token holders rather than a central authority. While DAOs are prevalent on networks like Ethereum and Solana, they have been largely absent from Bitcoin due to its programmability constraints. Rootstock, a layer-2 network, aims to enhance Bitcoin's utility and is compatible with Ethereum's EVM programming standard for smart contracts. This compatibility allows applications originally built on Ethereum or related chains to be easily transferred to Rootstock. The trend of building on Bitcoin gained traction in early 2023 with the Ordinals protocol, which introduced a Bitcoin version of non-fungible tokens (NFTs). This trend has continued with the introduction of memecoins and other fungible tokens on the Runes protocol, and the BitVM computing paradigm, which facilitates smart contracts on Bitcoin. The RootstockCollective DAO aims to encourage builders and users of Rootstock by allowing RIF token holders to stake their tokens and earn voting rights. Staking involves users locking away their tokens to participate in the blockchain's verification process and receiving additional tokens as a reward.",RootstockCollective has been introduced as the first decentralized autonomous organization (DAO) on Bitcoin layer-2 Rootstock. The new DAO allows Rootstock token holders to earn voting rights by staking their tokens. The DAO is compatible with the EVM programming standard for smart contracts.,0.0
2024-09-12,"According to BlockBeats, on September 12, QCP Capital released a report highlighting that the recently announced U.S. Consumer Price Index (CPI) data met expectations, with the core CPI rising slightly month-over-month to 0.3%, surpassing the forecasted 0.2%. This development has increased the likelihood of a 25 basis point rate cut by the Federal Reserve to 85%, marking the highest probability in a month. In the cryptocurrency market, Bitcoin (BTC) rebounded from its intraday low, climbing back above $57,000, indicating strong demand and growing bullish sentiment. This optimism is reflected in options activity, with a growing number of investors purchasing call options expiring between October and December. This week, BTC volatility decreased by 12 points due to the impact of the CPI data release and the presidential debate. With no significant macroeconomic events on the horizon, it is anticipated that volatility will continue to decline ahead of next week's Federal Reserve meeting. Given the upcoming rate cut and the U.S. presidential election, which are significant economic events, the market is building momentum.","The recently announced U.S. Consumer Price Index (CPI) data met expectations and the core CPI rose slightly month-over-month to 0.3%, surpassing the forecasted 0.2%. This development has increased the likelihood of a 25 basis point rate cut by the Federal Reserve to 85%. Bitcoin has rebounded from its intraday low, climbing back above",0.9996893405914307
2024-09-12,"According to BlockBeats, on September 12, Arkham monitoring revealed that Grayscale addresses transferred 763.785 BTC, valued at approximately $44.05 million, to an unmarked address 26 minutes prior. Additionally, Grayscale Bitcoin Mini Trust transferred 700 BTC, worth around $40.37 million, to an unmarked address 26 minutes earlier.",Grayscale addresses transferred 763.785 BTC worth $44.05 million to an unmarked address 26 minutes earlier. Grayscale Bitcoin Mini Trust transferred 700 BTC worth around $40.37 million to a different address. BlockBeats monitored the transactions on September 12.,0.0
2024-09-12,"According to Foresight News, monitoring by Spot On Chain reveals that the government of El Salvador has been purchasing one Bitcoin daily for 665 consecutive days, unaffected by market fluctuations. Currently, the government holds 5,871 Bitcoins, valued at approximately $342 million. Of these, 3,046 Bitcoins have been publicly disclosed, with an average purchase price of $43,888 per Bitcoin.","The government of El Salvador has been buying 5,871 Bitcoins daily for 665 consecutive days at an average price of $43,888 per Bitcoin. The government holds about $342 million worth of Bitcoins, valued at approximately $1.5 million each.",0.0
2024-09-12,"According to Odaily, data from mempool.space indicates that transaction fees on the Fractal Bitcoin mainnet are steadily increasing. Several blocks have seen fees surpassing 2400 Sat/byte, with the current network fees reaching 2291 Sat/byte.","According to data from mempool.space, transaction fees on the Fractal Bitcoin mainnet are steadily increasing. Several blocks have seen fees surpassing 2400 Sat/byte. The current network fees are 2291 Sat-byte per block, according to the data from Odaily.",0.9970172643661499
2024-09-11,"(Bloomberg) -- Bitcoin slid as investors reacted to the US presidential debate between Democratic nominee Kamala Harris and Republican rival Donald Trump, who has embraced the crypto sector.Most Read from BloombergHow Americans Voted Their Way Into a Housing CrisisAfter a Record Hot Summer, Pressure Grows for A/C MandatesChicago Halts Hiring as Deficit Tops $1 Billion Through 2025For Tenants, AI-Powered Screening Can Be a New Barrier to HousingUC Berkeley Gives Transfer Students a Purpose-Built",Bitcoin slides as investors react to the US presidential debate between Democratic nominee Kamala Harris and Republican rival Donald Trump. Most read from Bloomberg: Americans voted their way into a housing crisis. Chicago halts hiring as the city's deficit tops $1 billion through 2025.,-0.9971393346786499
2024-09-11,"On Sep 11, 2024, 01:33 AM(UTC). According to Binance Market Data, Bitcoin has dropped below 57,000 USDT and is now trading at 56,956.71875 USDT, with a narrowed narrowed 0.22% increase in 24 hours.","Bitcoin has dropped below 57,000 USDT and is now trading at 56,956.71875 USDT with a narrowed narrowed 0.22% increase in 24 hours on Sep 11, 2024, at 01:33 AM(UTC) on Binance Market Data.",-0.9951194524765015
2024-09-11,"According to Cointelegraph, Japanese investment firm Metaplanet has expanded its Bitcoin holdings, resulting in a significant rise in its share price on the Tokyo Stock Exchange. On September 10, Metaplanet announced the purchase of 38.46 Bitcoin (BTC) for $2.1 million (300 million Japanese yen), bringing its total Bitcoin holdings to 398.8 BTC, valued at approximately $23 million. This marks the firm's tenth Bitcoin acquisition since its initial purchase on April 23, as per Bitcoin Treasuries data. Despite a 13.3% decline in the total value of its Bitcoin investment, with the cryptocurrency currently trading at $57,520, Metaplanet's share price has surged by 480% since it revealed its Bitcoin investment strategy in early April, according to MarketWatch data. The firm now holds the 27th-largest Bitcoin stash among corporations globally and the third-largest in Asia. In May, Metaplanet announced plans to utilize a comprehensive range of capital market instruments to enhance its Bitcoin reserves, mirroring the strategy employed by MicroStrategy. This plan was put into action on August 8 when the firm secured a $6.8 million (1 billion Japanese yen) loan to purchase additional Bitcoin. Metaplanet CEO Simon Gerovich elaborated on the company's Bitcoin strategy at a Bitcoin Conference in July, stating that the goal is to hedge against Japan's increasing debt burden and the rapidly depreciating Japanese yen. Gerovich emphasized Bitcoin's status as a premier monetary asset and expressed the firm's commitment to accumulating as much Bitcoin as possible over time. He also credited MicroStrategy's Michael Saylor for leading the way in corporate Bitcoin adoption, noting that Metaplanet was considered a 'zombie' company before its Bitcoin investments.",Japanese investment firm Metaplanet has bought 38.46 Bitcoin for $2.1 million (300 million Japanese yen) on September 10th. Metaplanet's share price has risen by 480% since it revealed its Bitcoin investment strategy in early April. The firm now holds the 27th-largest Bitcoin stash among corporations globally and the third-largest in Asia.,0.9996942281723022
2024-09-11,"According to Odaily, data monitored by Trader T indicates that the total trading volume of 11 US spot Bitcoin ETFs amounted to $711 million yesterday. This marks the third lowest level since their launch.","The total trading volume of 11 US spot Bitcoin ETFs amounted to $711 million yesterday. This is the third lowest level since the launch of the Bitcoin exchange-traded fund's launch, according to Trader T data monitored by Odaily's data monitor.",-0.9983140230178833
2024-09-11,"Stock futures (ES=F, NQ=F, YM=F) are falling in Wednesday's pre-market trading after August's Consumer Price Index (CPI) came in-line with August estimates. Prices rose by 0.2% month-over-month and 2.5% year-over-year. Vice President Kamala Harris and former President Donald Trump met on the debate stage Tuesday night in the first presidential debate ahead of the 2024 election. The candidates butted heads on major policy platforms, including the US economy, inflation, and tariffs. Trump Media & Technology Group (DJT, DJTWW), bitcoin (BTC-USD), and notable solar stocks (FSLR, RUN, ENPH) are reacting to last night's debate performances. For more expert insight and the latest market action, click&nbsp;here&nbsp;to watch this full episode of Morning Brief. This post was written by Luke Carberry Mogan.",Stock futures are falling in Wednesday's pre-market trading after August's Consumer Price Index (CPI) came in-line with August estimates and prices rose by 0.2% month-over-month and 2.5% year-on-year. Last night's presidential debate was the first presidential debate ahead of the 2024 election. The candidates butted heads on major policy,-0.995641827583313
2024-09-11,Trump Media & Technology Group stock plunged as much as 18% on Wednesday to a record low since going public in March.,Trump Media & Technology Group stock plunged as much as 18% on Wednesday to a record low since going public in March. The stock has since recovered to a new record low of 8.5% on Thursday. The company is owned by Trump Media and Technology Group.,-0.9985792636871338
2024-09-11,"Shares of Trump Media and Technology Group (DJT) are plummeting Wednesday morning, following the presidential debate between Vice President Kamala Harris and former President Donald Trump. Many viewers believe Harris emerged as the stronger performer in the debate. As a result, the stock is now hovering near its lows. The cryptocurrency market is also feeling the impact, with bitcoin (BTC-USD) and related stocks such as MicroStrategy (MSTR) and Coinbase (COIN) on the move. For more expert insight and the latest market action, click here to watch this full episode of Morning Brief. This post was written by Angel Smith","Shares of Trump Media and Technology Group (DJT) are plummeting Wednesday morning, following the presidential debate between Vice President Kamala Harris and former President Donald Trump. The cryptocurrency market is also feeling the impact, with bitcoin and related stocks such as MicroStrategy (MSTR) and Coinbase (COIN).",-0.9982591271400452
2024-09-11,"According to BlockBeats, on September 11, data from BTC.com revealed that Bitcoin mining difficulty experienced an adjustment at block height 860832 at 11:25:57 UTC+8. The mining difficulty increased by 3.58% to reach 92.67 T, setting a new historical record.","The Bitcoin mining difficulty increased by 3.58% to reach 92.67 T on September 11th at 11:25:57 UTC+8, setting a new historical record for the mining difficulty at block height 860832 at 11.25:56 UTC+.",0.9997001886367798
2024-09-11,Harris and Trump may not have mentioned crypto. But crypto folk had plenty to say about the presidential debate Tuesday night.,"Harris and Trump had plenty to say about the presidential debate Tuesday night. They didn't mention crypto, but crypto folk had a lot to say on the subject. They are not against crypto. They think it's a valuable technology.  . They have a lot of opinions about the debate.",0.0
2024-09-11,Trump trades slumped following Tuesday's presidential debate.,"Trump trades slumped following Tuesday's presidential debate and the fall in the stock market. The stock market is now back to its pre-debate trading levels. The exchange rate is now at $1.50 per share, down from $1 per share before the debate.",-0.9985334873199463
2024-09-11,"US stocks (^DJI, ^IXIC, ^GSPC) were trading lower on Wednesday morning as investors digested August's Consumer Price Index (CPI) report. Morning Brief hosts Seana Smith and Brad Smith are joined by top Wall Street and economic experts to take in the fresh data print and observe market moves. BMO Capital Markets senior economist Jennifer Lee and Yardeni Research chief markets strategist Eric Wallerstein sit down with the Morning Brief team to break down the CPI report. CPI was roughly in line with expectations, though the housing sector saw some “mysterious” stickiness, UBS senior economist Brian Rose tells Yahoo Finance. Wells Fargo Investment Institute senior global market strategist Scott Wren says that with the Federal Reserve expected to cut interest rates next week, investors shouldn't get too caught up in the 25 or 50-basis-point debate. After Vice President Kamala Harris and former President Donald Trump met on Tuesday night at the pair’s first presidential debate, Trump Media (DJT, DJTWW), bitcoin (BTC-USD), and solar stocks (FSLR, RUN, ENPH) reacted in response to the candidates' performances. JPMorgan (JPM) and GameStop (GME) are among the top trending stocks on the Yahoo Finance platform, along with Manchester United (MANU) and Dave & Buster's (PLAY). This post was written by Naomi Buchanan.","US stocks are trading lower on Wednesday morning as investors digested August's Consumer Price Index (CPI) report. Top Wall Street and economic experts discuss the data print and observe market moves. The Federal Reserve is expected to cut interest rates next week. Trump Media, bitcoin, solar stocks and solar stocks react to the candidates' performances.",-0.9858275651931763
